ts_data_id,ts_id,dttime,data,version_id
43177977,27367,2019-07-01 00:00:00,61.720314,125
43177978,27367,2019-06-01 00:00:00,61.59687,125
43177979,27367,2019-05-01 00:00:00,61.843754,125
43177980,27367,2019-04-01 00:00:00,61.658592,125
43177981,27367,2019-03-01 00:00:00,61.59687,125
43177982,27367,2019-02-01 00:00:00,61.782032,125
43177983,27367,2019-01-01 00:00:00,61.782032,125
43177984,27367,2018-12-01 00:00:00,59.121563,125
43177985,27367,2018-11-01 00:00:00,59.121563,125
43177986,27367,2018-10-01 00:00:00,59.0625,125
43177987,27367,2018-09-01 00:00:00,58.944374,125
43177988,27367,2018-08-01 00:00:00,59.003437,125
43177989,27367,2018-07-01 00:00:00,59.0625,125
43177990,27367,2018-06-01 00:00:00,59.003437,125
43177991,27367,2018-05-01 00:00:00,59.0625,125
43177992,27367,2018-04-01 00:00:00,59.003437,125
43177993,27367,2018-03-01 00:00:00,59.003437,125
43177994,27367,2018-02-01 00:00:00,59.180626,125
43177995,27367,2018-01-01 00:00:00,58.944374,125
43177996,27368,2018-07-01 00:00:00,13633.213,125
43177997,27368,2018-06-01 00:00:00,14002.902,125
43177998,27368,2018-05-01 00:00:00,13360.271,125
43177999,27368,2018-04-01 00:00:00,12921.566,125
43178000,27368,2018-03-01 00:00:00,18928.889,125
43178001,27368,2018-02-01 00:00:00,17894.295,125
43178002,27368,2018-01-01 00:00:00,18240.324,125
43178003,27368,2022-04-01 00:00:00,12895.775,125
43178004,27368,2022-03-01 00:00:00,18966.748,125
43178005,27368,2022-02-01 00:00:00,17876.418,125
43178006,27368,2022-01-01 00:00:00,18276.879,125
43178007,27368,2021-12-01 00:00:00,13525.914,125
43178008,27368,2021-11-01 00:00:00,13427.405,125
43178009,27368,2021-10-01 00:00:00,13440.147,125
43178010,27368,2021-09-01 00:00:00,12562.141,125
43178011,27368,2021-08-01 00:00:00,13070.901,125
43178012,27368,2021-07-01 00:00:00,12640.928,125
43178013,27368,2021-06-01 00:00:00,13022.699,125
43178014,27368,2021-05-01 00:00:00,12387.814,125
43178015,27368,2021-04-01 00:00:00,11993.071,125
43178016,27368,2021-03-01 00:00:00,17639.074,125
43178017,27368,2021-02-01 00:00:00,16625.068,125
43178018,27368,2021-01-01 00:00:00,17031.492,125
43178019,27368,2020-12-01 00:00:00,12931.236,125
43178020,27368,2020-11-01 00:00:00,12811.409,125
43178021,27368,2020-10-01 00:00:00,12810.731,125
43178022,27368,2020-09-01 00:00:00,12057.936,125
43178023,27368,2020-08-01 00:00:00,12471.261,125
43178024,27368,2020-07-01 00:00:00,12085.122,125
43178025,27368,2020-06-01 00:00:00,12462.583,125
43178026,27368,2020-05-01 00:00:00,11878.763,125
43178027,27368,2020-04-01 00:00:00,11454.285,125
43178028,27368,2020-03-01 00:00:00,16880.404,125
43178029,27368,2020-02-01 00:00:00,15910.012,125
43178030,27368,2020-01-01 00:00:00,16250.155,125
43178031,27368,2019-12-01 00:00:00,15198.474,125
43178032,27368,2019-11-01 00:00:00,15027.553,125
43178033,27368,2019-10-01 00:00:00,15087.029,125
43178034,27368,2019-09-01 00:00:00,14143.783,125
43178035,27368,2019-08-01 00:00:00,14672.537,125
43178036,27368,2019-07-01 00:00:00,14204.053,125
43178037,27368,2019-06-01 00:00:00,14618.414,125
43178038,27368,2019-05-01 00:00:00,13947.536,125
43178039,27368,2019-04-01 00:00:00,13476.085,125
43178110,27370,2021-12-01 00:00:00,18072.26,125
43178111,27370,2021-11-01 00:00:00,17671.617,125
43178112,27370,2021-10-01 00:00:00,16859.623,125
43178113,27370,2021-09-01 00:00:00,14217.268,125
43178114,27370,2021-08-01 00:00:00,14106.111,125
43178115,27370,2021-07-01 00:00:00,15534.241,125
43178116,27370,2021-06-01 00:00:00,17317.424,125
43178117,27370,2021-05-01 00:00:00,17100.898,125
43178118,27370,2021-04-01 00:00:00,16343.285,125
43178119,27370,2021-03-01 00:00:00,22781.67,125
43178120,27370,2021-02-01 00:00:00,22129.121,125
43178121,27370,2021-01-01 00:00:00,22568.479,125
43178122,27370,2020-12-01 00:00:00,17277.7,125
43178123,27370,2020-11-01 00:00:00,16911.547,125
43178124,27370,2020-10-01 00:00:00,16150.613,125
43178125,27370,2020-09-01 00:00:00,13660.304,125
43178126,27370,2020-08-01 00:00:00,13458.9795,125
43178127,27370,2020-07-01 00:00:00,14866.102,125
43178128,27370,2020-06-01 00:00:00,16605.732,125
43178129,27370,2020-05-01 00:00:00,16365.376,125
43178130,27370,2020-04-01 00:00:00,15640.348,125
43178131,27370,2020-03-01 00:00:00,21780.055,125
43178132,27370,2020-02-01 00:00:00,21198.55,125
43178133,27370,2020-01-01 00:00:00,21619.389,125
43178134,27370,2019-12-01 00:00:00,20307.002,125
43178135,27370,2019-11-01 00:00:00,19836.941,125
43178136,27370,2019-10-01 00:00:00,18963.361,125
43178137,27370,2019-09-01 00:00:00,15975.316,125
43178138,27370,2019-08-01 00:00:00,15850.415,125
43178139,27370,2019-07-01 00:00:00,17525.104,125
43178140,27370,2019-06-01 00:00:00,19478.283,125
43178141,27370,2019-05-01 00:00:00,19196.291,125
43178142,27370,2019-04-01 00:00:00,18327.537,125
43178143,27370,2019-03-01 00:00:00,25496.566,125
43178144,27370,2019-02-01 00:00:00,24865.518,125
43178145,27370,2019-01-01 00:00:00,25308.486,125
43178146,27370,2018-12-01 00:00:00,19393.75,125
43178147,27370,2018-11-01 00:00:00,18982.719,125
43178148,27370,2018-10-01 00:00:00,18164.885,125
43178149,27370,2018-09-01 00:00:00,15318.0205,125
43178150,27370,2018-08-01 00:00:00,15107.312,125
43178151,27370,2018-07-01 00:00:00,16753.695,125
43178152,27371,2018-06-01 00:00:00,2909.889,125
43178153,27371,2018-05-01 00:00:00,2904.075,125
43178154,27371,2018-04-01 00:00:00,2906.982,125
43178155,27371,2018-03-01 00:00:00,2912.796,125
43178156,27371,2018-02-01 00:00:00,2906.982,125
43178157,27371,2018-01-01 00:00:00,2901.168,125
43178158,27371,2022-04-01 00:00:00,2904.075,125
43178159,27371,2022-03-01 00:00:00,2901.168,125
43178160,27371,2022-02-01 00:00:00,2901.168,125
43178161,27371,2022-01-01 00:00:00,2904.075,125
43178162,27371,2021-12-01 00:00:00,2700.7898,125
43178163,27371,2021-11-01 00:00:00,2706.1968,125
43178164,27371,2021-10-01 00:00:00,2700.7898,125
43178165,27371,2021-09-01 00:00:00,2706.1968,125
43178166,27371,2021-08-01 00:00:00,2703.4932,125
43178167,27371,2021-07-01 00:00:00,2703.4932,125
43178168,27371,2021-06-01 00:00:00,2703.4932,125
43178169,27371,2021-05-01 00:00:00,2708.9001,125
43178170,27371,2021-04-01 00:00:00,2708.9001,125
43178171,27371,2021-03-01 00:00:00,2698.0862,125
43178172,27371,2021-02-01 00:00:00,2700.7898,125
43178173,27371,2021-01-01 00:00:00,2706.1968,125
43178174,27371,2020-12-01 00:00:00,2587.2139,125
43178175,27371,2020-11-01 00:00:00,2592.3884,125
43178176,27371,2020-10-01 00:00:00,2582.0396,125
43178177,27371,2020-09-01 00:00:00,2587.2139,125
43178178,27371,2020-08-01 00:00:00,2589.8013,125
43178179,27371,2020-07-01 00:00:00,2589.8013,125
43178250,27372,2018-12-01 00:00:00,360.13477,125
43178251,27372,2018-11-01 00:00:00,359.05545,125
